Input (Dec),Expected (Float),FPGA (Q8.8),Abs Error,Error (LSB),Status
48648,220.5629,220.5625,0.000416,0.11 LSB,PASS
48649,220.5652,220.5664,0.001223,0.31 LSB,PASS
48650,220.5675,220.5664,0.001044,0.27 LSB,PASS
48651,220.5697,220.5703,0.000596,0.15 LSB,PASS
48652,220.572,220.5703,0.001671,0.43 LSB,PASS
48653,220.5743,220.5742,0.000032,0.01 LSB,PASS
48654,220.5765,220.5781,0.001608,0.41 LSB,PASS
48655,220.5788,220.5781,0.000659,0.17 LSB,PASS
48656,220.5811,220.582,0.00098,0.25 LSB,PASS
48657,220.5833,220.582,0.001286,0.33 LSB,PASS
48658,220.5856,220.5859,0.000353,0.09 LSB,PASS
48659,220.5879,220.5898,0.001993,0.51 LSB,PASS
48660,220.5901,220.5898,0.000274,0.07 LSB,PASS
48661,220.5924,220.5938,0.001366,0.35 LSB,PASS
48662,220.5947,220.5938,0.000901,0.23 LSB,PASS
48663,220.5969,220.5977,0.000739,0.19 LSB,PASS
48664,220.5992,220.5977,0.001528,0.39 LSB,PASS
48665,220.6015,220.6016,0.000112,0.03 LSB,PASS
48666,220.6037,220.6055,0.001752,0.45 LSB,PASS
48667,220.606,220.6055,0.000515,0.13 LSB,PASS
48668,220.6083,220.6094,0.001125,0.29 LSB,PASS
48669,220.6105,220.6094,0.001142,0.29 LSB,PASS
48670,220.6128,220.6133,0.000498,0.13 LSB,PASS
48671,220.615,220.6172,0.002138,0.55 LSB,PASS
48672,220.6173,220.6172,0.000128,0.03 LSB,PASS
48673,220.6196,220.6211,0.001512,0.39 LSB,PASS
48674,220.6218,220.6211,0.000755,0.19 LSB,PASS
48675,220.6241,220.625,0.000885,0.23 LSB,PASS
48676,220.6264,220.625,0.001381,0.35 LSB,PASS
48677,220.6286,220.6289,0.000259,0.07 LSB,PASS
48678,220.6309,220.6328,0.001899,0.49 LSB,PASS
48679,220.6332,220.6328,0.000367,0.09 LSB,PASS
48680,220.6354,220.6367,0.001273,0.33 LSB,PASS
48681,220.6377,220.6367,0.000993,0.25 LSB,PASS
48682,220.64,220.6406,0.000647,0.17 LSB,PASS
48683,220.6422,220.6406,0.001619,0.41 LSB,PASS
48684,220.6445,220.6445,0.000021,0.01 LSB,PASS
48685,220.6468,220.6484,0.001661,0.43 LSB,PASS
48686,220.649,220.6484,0.000605,0.15 LSB,PASS
48687,220.6513,220.6523,0.001035,0.26 LSB,PASS
48688,220.6536,220.6523,0.001231,0.32 LSB,PASS
48689,220.6558,220.6562,0.000409,0.10 LSB,PASS
48690,220.6581,220.6602,0.00205,0.52 LSB,PASS
48691,220.6604,220.6602,0.000216,0.06 LSB,PASS
48692,220.6626,220.6641,0.001424,0.36 LSB,PASS
48693,220.6649,220.6641,0.000842,0.22 LSB,PASS
48694,220.6672,220.668,0.000799,0.20 LSB,PASS
48695,220.6694,220.668,0.001467,0.38 LSB,PASS
48696,220.6717,220.6719,0.000173,0.04 LSB,PASS
48697,220.674,220.6758,0.001814,0.46 LSB,PASS
48698,220.6762,220.6758,0.000452,0.12 LSB,PASS
48699,220.6785,220.6797,0.001188,0.30 LSB,PASS
48700,220.6808,220.6797,0.001077,0.28 LSB,PASS
48701,220.683,220.6836,0.000563,0.14 LSB,PASS
48702,220.6853,220.6836,0.001703,0.44 LSB,PASS
48703,220.6876,220.6875,0.000062,0.02 LSB,PASS
48704,220.6898,220.6914,0.001579,0.40 LSB,PASS
48705,220.6921,220.6914,0.000687,0.18 LSB,PASS
48706,220.6944,220.6953,0.000954,0.24 LSB,PASS
48707,220.6966,220.6953,0.001312,0.34 LSB,PASS
48708,220.6989,220.6992,0.000329,0.08 LSB,PASS
48709,220.7012,220.7031,0.00197,0.50 LSB,PASS
48710,220.7034,220.7031,0.000296,0.08 LSB,PASS
48711,220.7057,220.707,0.001345,0.34 LSB,PASS
48712,220.708,220.707,0.000921,0.24 LSB,PASS
48713,220.7102,220.7109,0.00072,0.18 LSB,PASS
48714,220.7125,220.7109,0.001545,0.40 LSB,PASS
48715,220.7147,220.7148,0.000096,0.02 LSB,PASS
48716,220.717,220.7188,0.001737,0.44 LSB,PASS
48717,220.7193,220.7188,0.000529,0.14 LSB,PASS
48718,220.7215,220.7227,0.001112,0.28 LSB,PASS
48719,220.7238,220.7227,0.001153,0.30 LSB,PASS
48720,220.7261,220.7266,0.000488,0.12 LSB,PASS
48721,220.7283,220.7305,0.002129,0.55 LSB,PASS
48722,220.7306,220.7305,0.000136,0.03 LSB,PASS
48723,220.7329,220.7344,0.001505,0.39 LSB,PASS
48724,220.7351,220.7344,0.00076,0.19 LSB,PASS
48725,220.7374,220.7383,0.000881,0.23 LSB,PASS
48726,220.7397,220.7383,0.001384,0.35 LSB,PASS
48727,220.7419,220.7422,0.000257,0.07 LSB,PASS
48728,220.7442,220.7461,0.001898,0.49 LSB,PASS
48729,220.7465,220.7461,0.000367,0.09 LSB,PASS
48730,220.7487,220.75,0.001274,0.33 LSB,PASS
48731,220.751,220.75,0.000991,0.25 LSB,PASS
48732,220.7533,220.7539,0.00065,0.17 LSB,PASS
48733,220.7555,220.7539,0.001615,0.41 LSB,PASS
48734,220.7578,220.7578,0.000027,0.01 LSB,PASS
48735,220.7601,220.7617,0.001668,0.43 LSB,PASS
48736,220.7623,220.7617,0.000597,0.15 LSB,PASS
48737,220.7646,220.7656,0.001045,0.27 LSB,PASS
48738,220.7668,220.7656,0.00122,0.31 LSB,PASS
48739,220.7691,220.7695,0.000421,0.11 LSB,PASS
48740,220.7714,220.7734,0.002063,0.53 LSB,PASS
48741,220.7736,220.7734,0.000202,0.05 LSB,PASS
48742,220.7759,220.7773,0.001439,0.37 LSB,PASS
48743,220.7782,220.7773,0.000825,0.21 LSB,PASS
48744,220.7804,220.7812,0.000816,0.21 LSB,PASS
48745,220.7827,220.7812,0.001449,0.37 LSB,PASS
48746,220.785,220.7852,0.000193,0.05 LSB,PASS
48747,220.7872,220.7891,0.001835,0.47 LSB,PASS
48748,220.7895,220.7891,0.00043,0.11 LSB,PASS
48749,220.7918,220.793,0.001212,0.31 LSB,PASS
48750,220.794,220.793,0.001053,0.27 LSB,PASS
48751,220.7963,220.7969,0.000589,0.15 LSB,PASS
48752,220.7986,220.7969,0.001676,0.43 LSB,PASS
48753,220.8008,220.8008,0.000034,0.01 LSB,PASS
48754,220.8031,220.8047,0.001608,0.41 LSB,PASS
48755,220.8053,220.8047,0.000657,0.17 LSB,PASS
48756,220.8076,220.8086,0.000985,0.25 LSB,PASS
48757,220.8099,220.8086,0.001279,0.33 LSB,PASS
48758,220.8121,220.8125,0.000363,0.09 LSB,PASS
48759,220.8144,220.8164,0.002005,0.51 LSB,PASS
48760,220.8167,220.8164,0.00026,0.07 LSB,PASS
48761,220.8189,220.8203,0.001382,0.35 LSB,PASS
48762,220.8212,220.8203,0.000882,0.23 LSB,PASS
48763,220.8235,220.8242,0.00076,0.19 LSB,PASS
48764,220.8257,220.8242,0.001504,0.39 LSB,PASS
48765,220.828,220.8281,0.000138,0.04 LSB,PASS
48766,220.8303,220.832,0.00178,0.46 LSB,PASS
48767,220.8325,220.832,0.000484,0.12 LSB,PASS
48768,220.8348,220.8359,0.001158,0.30 LSB,PASS
48769,220.837,220.8359,0.001106,0.28 LSB,PASS
48770,220.8393,220.8398,0.000536,0.14 LSB,PASS
48771,220.8416,220.8438,0.002178,0.56 LSB,PASS
48772,220.8438,220.8438,0.000086,0.02 LSB,PASS
48773,220.8461,220.8477,0.001556,0.40 LSB,PASS
48774,220.8484,220.8477,0.000708,0.18 LSB,PASS
48775,220.8506,220.8516,0.000934,0.24 LSB,PASS
48776,220.8529,220.8516,0.00133,0.34 LSB,PASS
48777,220.8552,220.8555,0.000313,0.08 LSB,PASS
48778,220.8574,220.8594,0.001955,0.50 LSB,PASS
48779,220.8597,220.8594,0.000309,0.08 LSB,PASS
48780,220.8619,220.8633,0.001333,0.34 LSB,PASS
48781,220.8642,220.8633,0.00093,0.24 LSB,PASS
48782,220.8665,220.8672,0.000712,0.18 LSB,PASS
48783,220.8687,220.8672,0.001552,0.40 LSB,PASS
48784,220.871,220.8711,0.000091,0.02 LSB,PASS
48785,220.8733,220.875,0.001733,0.44 LSB,PASS
48786,220.8755,220.875,0.000531,0.14 LSB,PASS
48787,220.8778,220.8789,0.001112,0.28 LSB,PASS
48788,220.8801,220.8789,0.001152,0.29 LSB,PASS
48789,220.8823,220.8828,0.000491,0.13 LSB,PASS
48790,220.8846,220.8867,0.002134,0.55 LSB,PASS
48791,220.8868,220.8867,0.00013,0.03 LSB,PASS
48792,220.8891,220.8906,0.001513,0.39 LSB,PASS
48793,220.8914,220.8906,0.000751,0.19 LSB,PASS
48794,220.8936,220.8945,0.000892,0.23 LSB,PASS
48795,220.8959,220.8945,0.001372,0.35 LSB,PASS
48796,220.8982,220.8984,0.000271,0.07 LSB,PASS
48797,220.9004,220.9023,0.001914,0.49 LSB,PASS
48798,220.9027,220.9023,0.00035,0.09 LSB,PASS
48799,220.905,220.9062,0.001293,0.33 LSB,PASS
48800,220.9072,220.9062,0.00097,0.25 LSB,PASS
48801,220.9095,220.9102,0.000673,0.17 LSB,PASS
48802,220.9117,220.9102,0.001591,0.41 LSB,PASS
48803,220.914,220.9141,0.000052,0.01 LSB,PASS
48804,220.9163,220.918,0.001695,0.43 LSB,PASS
48805,220.9185,220.918,0.000568,0.15 LSB,PASS
48806,220.9208,220.9219,0.001075,0.28 LSB,PASS
48807,220.9231,220.9219,0.001189,0.30 LSB,PASS
48808,220.9253,220.9258,0.000454,0.12 LSB,PASS
48809,220.9276,220.9297,0.002098,0.54 LSB,PASS
48810,220.9299,220.9297,0.000166,0.04 LSB,PASS
48811,220.9321,220.9336,0.001477,0.38 LSB,PASS
48812,220.9344,220.9336,0.000786,0.20 LSB,PASS
48813,220.9366,220.9375,0.000857,0.22 LSB,PASS
48814,220.9389,220.9375,0.001406,0.36 LSB,PASS
48815,220.9412,220.9414,0.000238,0.06 LSB,PASS
48816,220.9434,220.9453,0.001881,0.48 LSB,PASS
48817,220.9457,220.9453,0.000382,0.10 LSB,PASS
48818,220.948,220.9492,0.001261,0.32 LSB,PASS
48819,220.9502,220.9492,0.001002,0.26 LSB,PASS
48820,220.9525,220.9531,0.000641,0.16 LSB,PASS
48821,220.9547,220.9531,0.001621,0.42 LSB,PASS
48822,220.957,220.957,0.000022,0.01 LSB,PASS
48823,220.9593,220.9609,0.001665,0.43 LSB,PASS
48824,220.9615,220.9609,0.000598,0.15 LSB,PASS
48825,220.9638,220.9648,0.001046,0.27 LSB,PASS
48826,220.9661,220.9648,0.001217,0.31 LSB,PASS
48827,220.9683,220.9688,0.000426,0.11 LSB,PASS
48828,220.9706,220.9727,0.00207,0.53 LSB,PASS
48829,220.9728,220.9727,0.000193,0.05 LSB,PASS
48830,220.9751,220.9766,0.001451,0.37 LSB,PASS
48831,220.9774,220.9766,0.000812,0.21 LSB,PASS
48832,220.9796,220.9805,0.000832,0.21 LSB,PASS
48833,220.9819,220.9805,0.001431,0.37 LSB,PASS
48834,220.9842,220.9844,0.000213,0.05 LSB,PASS
48835,220.9864,220.9883,0.001856,0.48 LSB,PASS
48836,220.9887,220.9883,0.000406,0.10 LSB,PASS
48837,220.991,220.9922,0.001237,0.32 LSB,PASS
48838,220.9932,220.9922,0.001025,0.26 LSB,PASS
48839,220.9955,220.9961,0.000619,0.16 LSB,PASS
48840,220.9977,220.9961,0.001644,0.42 LSB,PASS
48841,221,221,0,0.00 LSB,PASS
48842,221.0023,221.0039,0.001644,0.42 LSB,PASS
48843,221.0045,221.0039,0.000619,0.16 LSB,PASS
48844,221.0068,221.0078,0.001025,0.26 LSB,PASS
48845,221.009,221.0078,0.001237,0.32 LSB,PASS
48846,221.0113,221.0117,0.000407,0.10 LSB,PASS
48847,221.0136,221.0156,0.002051,0.52 LSB,PASS
48848,221.0158,221.0156,0.000212,0.05 LSB,PASS
48849,221.0181,221.0195,0.001432,0.37 LSB,PASS
48850,221.0204,221.0195,0.00083,0.21 LSB,PASS
48851,221.0226,221.0234,0.000814,0.21 LSB,PASS
48852,221.0249,221.0234,0.001448,0.37 LSB,PASS
48853,221.0271,221.0273,0.000196,0.05 LSB,PASS
48854,221.0294,221.0312,0.00184,0.47 LSB,PASS
48855,221.0317,221.0312,0.000422,0.11 LSB,PASS
48856,221.0339,221.0352,0.001222,0.31 LSB,PASS
48857,221.0362,221.0352,0.00104,0.27 LSB,PASS
48858,221.0385,221.0391,0.000604,0.15 LSB,PASS
48859,221.0407,221.0391,0.001658,0.42 LSB,PASS
48860,221.043,221.043,0.000013,0.00 LSB,PASS
48861,221.0452,221.0469,0.001631,0.42 LSB,PASS
48862,221.0475,221.0469,0.000631,0.16 LSB,PASS
48863,221.0498,221.0508,0.001013,0.26 LSB,PASS
48864,221.052,221.0508,0.001249,0.32 LSB,PASS
48865,221.0543,221.0547,0.000396,0.10 LSB,PASS
48866,221.0566,221.0586,0.00204,0.52 LSB,PASS
48867,221.0588,221.0586,0.000222,0.06 LSB,PASS
48868,221.0611,221.0625,0.001422,0.36 LSB,PASS
48869,221.0633,221.0625,0.000839,0.21 LSB,PASS
48870,221.0656,221.0664,0.000805,0.21 LSB,PASS
48871,221.0679,221.0664,0.001457,0.37 LSB,PASS
48872,221.0701,221.0703,0.000188,0.05 LSB,PASS
48873,221.0724,221.0742,0.001832,0.47 LSB,PASS
48874,221.0746,221.0742,0.000429,0.11 LSB,PASS
48875,221.0769,221.0781,0.001215,0.31 LSB,PASS
48876,221.0792,221.0781,0.001046,0.27 LSB,PASS
48877,221.0814,221.082,0.000598,0.15 LSB,PASS
48878,221.0837,221.082,0.001663,0.43 LSB,PASS
48879,221.086,221.0859,0.000019,0.00 LSB,PASS
48880,221.0882,221.0898,0.001626,0.42 LSB,PASS
48881,221.0905,221.0898,0.000635,0.16 LSB,PASS
48882,221.0927,221.0938,0.001009,0.26 LSB,PASS
48883,221.095,221.0938,0.001252,0.32 LSB,PASS
48884,221.0973,221.0977,0.000393,0.10 LSB,PASS
48885,221.0995,221.1016,0.002037,0.52 LSB,PASS
48886,221.1018,221.1016,0.000224,0.06 LSB,PASS
48887,221.104,221.1055,0.001421,0.36 LSB,PASS
48888,221.1063,221.1055,0.000841,0.22 LSB,PASS
48889,221.1086,221.1094,0.000804,0.21 LSB,PASS
48890,221.1108,221.1094,0.001457,0.37 LSB,PASS
48891,221.1131,221.1133,0.000188,0.05 LSB,PASS
48892,221.1154,221.1172,0.001833,0.47 LSB,PASS
48893,221.1176,221.1172,0.000428,0.11 LSB,PASS
48894,221.1199,221.1211,0.001217,0.31 LSB,PASS
48895,221.1221,221.1211,0.001044,0.27 LSB,PASS
48896,221.1244,221.125,0.000601,0.15 LSB,PASS
48897,221.1267,221.125,0.001661,0.43 LSB,PASS
48898,221.1289,221.1289,0.000015,0.00 LSB,PASS
48899,221.1312,221.1328,0.00163,0.42 LSB,PASS
48900,221.1334,221.1328,0.000631,0.16 LSB,PASS
48901,221.1357,221.1367,0.001014,0.26 LSB,PASS
48902,221.138,221.1367,0.001247,0.32 LSB,PASS
48903,221.1402,221.1406,0.000398,0.10 LSB,PASS
48904,221.1425,221.1445,0.002043,0.52 LSB,PASS
48905,221.1447,221.1445,0.000218,0.06 LSB,PASS
48906,221.147,221.1484,0.001428,0.37 LSB,PASS
48907,221.1493,221.1484,0.000833,0.21 LSB,PASS
48908,221.1515,221.1523,0.000812,0.21 LSB,PASS
48909,221.1538,221.1523,0.001449,0.37 LSB,PASS
48910,221.1561,221.1562,0.000196,0.05 LSB,PASS
48911,221.1583,221.1602,0.001842,0.47 LSB,PASS
48912,221.1606,221.1602,0.000419,0.11 LSB,PASS
48913,221.1628,221.1641,0.001227,0.31 LSB,PASS
48914,221.1651,221.1641,0.001034,0.26 LSB,PASS
48915,221.1674,221.168,0.000611,0.16 LSB,PASS
48916,221.1696,221.168,0.001649,0.42 LSB,PASS
48917,221.1719,221.1719,0.000004,0.00 LSB,PASS
48918,221.1741,221.1758,0.001642,0.42 LSB,PASS
48919,221.1764,221.1758,0.000619,0.16 LSB,PASS
48920,221.1787,221.1797,0.001027,0.26 LSB,PASS
48921,221.1809,221.1797,0.001234,0.32 LSB,PASS
48922,221.1832,221.1836,0.000412,0.11 LSB,PASS
48923,221.1854,221.1875,0.002057,0.53 LSB,PASS
48924,221.1877,221.1875,0.000203,0.05 LSB,PASS
48925,221.19,221.1914,0.001443,0.37 LSB,PASS
48926,221.1922,221.1914,0.000818,0.21 LSB,PASS
48927,221.1945,221.1953,0.000828,0.21 LSB,PASS
48928,221.1967,221.1953,0.001433,0.37 LSB,PASS
48929,221.199,221.1992,0.000213,0.05 LSB,PASS
48930,221.2013,221.2031,0.001859,0.48 LSB,PASS
48931,221.2035,221.2031,0.000401,0.10 LSB,PASS
48932,221.2058,221.207,0.001245,0.32 LSB,PASS
48933,221.208,221.207,0.001016,0.26 LSB,PASS
48934,221.2103,221.2109,0.00063,0.16 LSB,PASS
48935,221.2126,221.2109,0.00163,0.42 LSB,PASS
48936,221.2148,221.2148,0.000016,0.00 LSB,PASS
48937,221.2171,221.2188,0.001662,0.43 LSB,PASS
48938,221.2193,221.2188,0.000598,0.15 LSB,PASS
48939,221.2216,221.2227,0.001048,0.27 LSB,PASS
48940,221.2239,221.2227,0.001212,0.31 LSB,PASS
48941,221.2261,221.2266,0.000434,0.11 LSB,PASS
48942,221.2284,221.2305,0.00208,0.53 LSB,PASS
48943,221.2306,221.2305,0.00018,0.05 LSB,PASS
48944,221.2329,221.2344,0.001466,0.38 LSB,PASS
48945,221.2352,221.2344,0.000794,0.20 LSB,PASS
48946,221.2374,221.2383,0.000852,0.22 LSB,PASS
48947,221.2397,221.2383,0.001408,0.36 LSB,PASS
48948,221.2419,221.2422,0.000238,0.06 LSB,PASS
48949,221.2442,221.2461,0.001885,0.48 LSB,PASS
48950,221.2465,221.2461,0.000375,0.10 LSB,PASS
48951,221.2487,221.25,0.001271,0.33 LSB,PASS
48952,221.251,221.25,0.000989,0.25 LSB,PASS
48953,221.2532,221.2539,0.000658,0.17 LSB,PASS
48954,221.2555,221.2539,0.001602,0.41 LSB,PASS
48955,221.2578,221.2578,0.000044,0.01 LSB,PASS
48956,221.26,221.2617,0.001691,0.43 LSB,PASS
48957,221.2623,221.2617,0.000569,0.15 LSB,PASS
48958,221.2645,221.2656,0.001077,0.28 LSB,PASS
48959,221.2668,221.2656,0.001182,0.30 LSB,PASS
48960,221.2691,221.2695,0.000464,0.12 LSB,PASS
48961,221.2713,221.2734,0.002111,0.54 LSB,PASS
48962,221.2736,221.2734,0.000149,0.04 LSB,PASS
48963,221.2758,221.2773,0.001498,0.38 LSB,PASS
48964,221.2781,221.2773,0.000762,0.20 LSB,PASS
48965,221.2804,221.2812,0.000885,0.23 LSB,PASS
48966,221.2826,221.2812,0.001375,0.35 LSB,PASS
48967,221.2849,221.2852,0.000272,0.07 LSB,PASS
48968,221.2871,221.2891,0.001919,0.49 LSB,PASS
48969,221.2894,221.2891,0.000341,0.09 LSB,PASS
48970,221.2917,221.293,0.001306,0.33 LSB,PASS
48971,221.2939,221.293,0.000953,0.24 LSB,PASS
48972,221.2962,221.2969,0.000693,0.18 LSB,PASS
48973,221.2984,221.2969,0.001566,0.40 LSB,PASS
48974,221.3007,221.3008,0.000081,0.02 LSB,PASS
48975,221.303,221.3047,0.001728,0.44 LSB,PASS
48976,221.3052,221.3047,0.000532,0.14 LSB,PASS
48977,221.3075,221.3086,0.001115,0.29 LSB,PASS
48978,221.3097,221.3086,0.001144,0.29 LSB,PASS
48979,221.312,221.3125,0.000503,0.13 LSB,PASS
48980,221.3143,221.3164,0.00215,0.55 LSB,PASS
48981,221.3165,221.3164,0.000109,0.03 LSB,PASS
48982,221.3188,221.3203,0.001538,0.39 LSB,PASS
48983,221.321,221.3203,0.000721,0.18 LSB,PASS
48984,221.3233,221.3242,0.000926,0.24 LSB,PASS
48985,221.3256,221.3242,0.001333,0.34 LSB,PASS
48986,221.3278,221.3281,0.000314,0.08 LSB,PASS
48987,221.3301,221.332,0.001961,0.50 LSB,PASS
48988,221.3323,221.332,0.000298,0.08 LSB,PASS
48989,221.3346,221.3359,0.001349,0.35 LSB,PASS
48990,221.3368,221.3359,0.00091,0.23 LSB,PASS
48991,221.3391,221.3398,0.000737,0.19 LSB,PASS
48992,221.3414,221.3398,0.001522,0.39 LSB,PASS
48993,221.3436,221.3438,0.000126,0.03 LSB,PASS
48994,221.3459,221.3477,0.001773,0.45 LSB,PASS
48995,221.3481,221.3477,0.000486,0.12 LSB,PASS
48996,221.3504,221.3516,0.001162,0.30 LSB,PASS
48997,221.3527,221.3516,0.001097,0.28 LSB,PASS
48998,221.3549,221.3555,0.00055,0.14 LSB,PASS
48999,221.3572,221.3555,0.001709,0.44 LSB,PASS
49000,221.3594,221.3594,0.000061,0.02 LSB,PASS
49001,221.3617,221.3633,0.001586,0.41 LSB,PASS
49002,221.364,221.3633,0.000672,0.17 LSB,PASS
49003,221.3662,221.3672,0.000975,0.25 LSB,PASS
49004,221.3685,221.3672,0.001284,0.33 LSB,PASS
49005,221.3707,221.3711,0.000364,0.09 LSB,PASS
49006,221.373,221.375,0.002012,0.51 LSB,PASS
49007,221.3752,221.375,0.000247,0.06 LSB,PASS
49008,221.3775,221.3789,0.001401,0.36 LSB,PASS
49009,221.3798,221.3789,0.000858,0.22 LSB,PASS
49010,221.382,221.3828,0.00079,0.20 LSB,PASS
49011,221.3843,221.3828,0.001469,0.38 LSB,PASS
49012,221.3865,221.3867,0.000179,0.05 LSB,PASS
49013,221.3888,221.3906,0.001827,0.47 LSB,PASS
49014,221.3911,221.3906,0.000432,0.11 LSB,PASS
49015,221.3933,221.3945,0.001216,0.31 LSB,PASS
49016,221.3956,221.3945,0.001042,0.27 LSB,PASS
49017,221.3978,221.3984,0.000606,0.16 LSB,PASS
49018,221.4001,221.3984,0.001653,0.42 LSB,PASS
49019,221.4023,221.4023,0.000005,0.00 LSB,PASS
49020,221.4046,221.4062,0.001643,0.42 LSB,PASS
49021,221.4069,221.4062,0.000615,0.16 LSB,PASS
49022,221.4091,221.4102,0.001033,0.26 LSB,PASS
49023,221.4114,221.4102,0.001226,0.31 LSB,PASS
49024,221.4136,221.4141,0.000422,0.11 LSB,PASS
49025,221.4159,221.418,0.00207,0.53 LSB,PASS
49026,221.4182,221.418,0.000188,0.05 LSB,PASS
49027,221.4204,221.4219,0.00146,0.37 LSB,PASS
49028,221.4227,221.4219,0.000798,0.20 LSB,PASS
49029,221.4249,221.4258,0.00085,0.22 LSB,PASS
49030,221.4272,221.4258,0.001408,0.36 LSB,PASS
49031,221.4294,221.4297,0.00024,0.06 LSB,PASS
49032,221.4317,221.4336,0.001889,0.48 LSB,PASS
49033,221.434,221.4336,0.000369,0.09 LSB,PASS
49034,221.4362,221.4375,0.001279,0.33 LSB,PASS
49035,221.4385,221.4375,0.000979,0.25 LSB,PASS
49036,221.4407,221.4414,0.000669,0.17 LSB,PASS
49037,221.443,221.4414,0.001589,0.41 LSB,PASS
49038,221.4453,221.4453,0.00006,0.02 LSB,PASS
49039,221.4475,221.4492,0.001708,0.44 LSB,PASS
49040,221.4498,221.4492,0.00055,0.14 LSB,PASS
49041,221.452,221.4531,0.001099,0.28 LSB,PASS
49042,221.4543,221.4531,0.001159,0.30 LSB,PASS
49043,221.4565,221.457,0.000489,0.13 LSB,PASS
49044,221.4588,221.4609,0.002138,0.55 LSB,PASS
49045,221.4611,221.4609,0.00012,0.03 LSB,PASS
49046,221.4633,221.4648,0.001529,0.39 LSB,PASS
49047,221.4656,221.4648,0.000729,0.19 LSB,PASS
49048,221.4678,221.4688,0.000919,0.24 LSB,PASS
49049,221.4701,221.4688,0.001338,0.34 LSB,PASS
49050,221.4723,221.4727,0.00031,0.08 LSB,PASS
49051,221.4746,221.4766,0.001959,0.50 LSB,PASS
49052,221.4769,221.4766,0.000299,0.08 LSB,PASS
49053,221.4791,221.4805,0.00135,0.35 LSB,PASS
49054,221.4814,221.4805,0.000907,0.23 LSB,PASS
49055,221.4836,221.4844,0.000741,0.19 LSB,PASS
49056,221.4859,221.4844,0.001516,0.39 LSB,PASS
49057,221.4881,221.4883,0.000133,0.03 LSB,PASS
49058,221.4904,221.4922,0.001781,0.46 LSB,PASS
49059,221.4927,221.4922,0.000476,0.12 LSB,PASS
49060,221.4949,221.4961,0.001173,0.30 LSB,PASS
49061,221.4972,221.4961,0.001085,0.28 LSB,PASS
49062,221.4994,221.5,0.000564,0.14 LSB,PASS
49063,221.5017,221.5,0.001693,0.43 LSB,PASS
49064,221.504,221.5039,0.000044,0.01 LSB,PASS
49065,221.5062,221.5078,0.001605,0.41 LSB,PASS
49066,221.5085,221.5078,0.000652,0.17 LSB,PASS
49067,221.5107,221.5117,0.000997,0.26 LSB,PASS
49068,221.513,221.5117,0.001261,0.32 LSB,PASS
49069,221.5152,221.5156,0.000389,0.10 LSB,PASS
49070,221.5175,221.5195,0.002038,0.52 LSB,PASS
49071,221.5198,221.5195,0.00022,0.06 LSB,PASS
49072,221.522,221.5234,0.00143,0.37 LSB,PASS
49073,221.5243,221.5234,0.000828,0.21 LSB,PASS
49074,221.5265,221.5273,0.000822,0.21 LSB,PASS
49075,221.5288,221.5273,0.001435,0.37 LSB,PASS
49076,221.531,221.5312,0.000214,0.05 LSB,PASS
49077,221.5333,221.5352,0.001863,0.48 LSB,PASS
49078,221.5356,221.5352,0.000394,0.10 LSB,PASS
49079,221.5378,221.5391,0.001255,0.32 LSB,PASS
49080,221.5401,221.5391,0.001002,0.26 LSB,PASS
49081,221.5423,221.543,0.000648,0.17 LSB,PASS
49082,221.5446,221.543,0.001609,0.41 LSB,PASS
49083,221.5468,221.5469,0.00004,0.01 LSB,PASS
49084,221.5491,221.5508,0.00169,0.43 LSB,PASS
49085,221.5513,221.5508,0.000567,0.15 LSB,PASS
49086,221.5536,221.5547,0.001082,0.28 LSB,PASS
49087,221.5559,221.5547,0.001175,0.30 LSB,PASS
49088,221.5581,221.5586,0.000475,0.12 LSB,PASS
49089,221.5604,221.5625,0.002124,0.54 LSB,PASS
49090,221.5626,221.5625,0.000132,0.03 LSB,PASS
49091,221.5649,221.5664,0.001517,0.39 LSB,PASS
49092,221.5671,221.5664,0.000739,0.19 LSB,PASS
49093,221.5694,221.5703,0.00091,0.23 LSB,PASS
49094,221.5717,221.5703,0.001346,0.34 LSB,PASS
49095,221.5739,221.5742,0.000303,0.08 LSB,PASS
49096,221.5762,221.5781,0.001953,0.50 LSB,PASS
49097,221.5784,221.5781,0.000304,0.08 LSB,PASS
49098,221.5807,221.582,0.001346,0.34 LSB,PASS
49099,221.5829,221.582,0.00091,0.23 LSB,PASS
49100,221.5852,221.5859,0.000739,0.19 LSB,PASS
49101,221.5875,221.5859,0.001517,0.39 LSB,PASS
49102,221.5897,221.5898,0.000133,0.03 LSB,PASS
49103,221.592,221.5938,0.001783,0.46 LSB,PASS
49104,221.5942,221.5938,0.000474,0.12 LSB,PASS
49105,221.5965,221.5977,0.001176,0.30 LSB,PASS
49106,221.5987,221.5977,0.00108,0.28 LSB,PASS
49107,221.601,221.6016,0.00057,0.15 LSB,PASS
49108,221.6032,221.6016,0.001687,0.43 LSB,PASS
49109,221.6055,221.6055,0.000037,0.01 LSB,PASS
49110,221.6078,221.6094,0.001613,0.41 LSB,PASS
49111,221.61,221.6094,0.000643,0.16 LSB,PASS
49112,221.6123,221.6133,0.001007,0.26 LSB,PASS
49113,221.6145,221.6133,0.001249,0.32 LSB,PASS
49114,221.6168,221.6172,0.000401,0.10 LSB,PASS
49115,221.619,221.6211,0.002051,0.53 LSB,PASS
