Input (Dec),Expected (Float),FPGA (Q8.8),Abs Error,Error (LSB),Status
42030,205.0122,205.0117,0.000476,0.12 LSB,PASS
42031,205.0146,205.0156,0.000991,0.25 LSB,PASS
42032,205.0171,205.0156,0.001447,0.37 LSB,PASS
42033,205.0195,205.0195,0.00002,0.01 LSB,PASS
42034,205.022,205.0234,0.001487,0.38 LSB,PASS
42035,205.0244,205.0234,0.000951,0.24 LSB,PASS
42036,205.0268,205.0273,0.000516,0.13 LSB,PASS
42037,205.0293,205.0312,0.001984,0.51 LSB,PASS
42038,205.0317,205.0312,0.000455,0.12 LSB,PASS
42039,205.0341,205.0352,0.001013,0.26 LSB,PASS
42040,205.0366,205.0352,0.001426,0.37 LSB,PASS
42041,205.039,205.0391,0.000042,0.01 LSB,PASS
42042,205.0415,205.043,0.00151,0.39 LSB,PASS
42043,205.0439,205.043,0.000929,0.24 LSB,PASS
42044,205.0463,205.0469,0.000539,0.14 LSB,PASS
42045,205.0488,205.0508,0.002007,0.51 LSB,PASS
42046,205.0512,205.0508,0.000432,0.11 LSB,PASS
42047,205.0537,205.0547,0.001036,0.27 LSB,PASS
42048,205.0561,205.0547,0.001402,0.36 LSB,PASS
42049,205.0585,205.0586,0.000066,0.02 LSB,PASS
42050,205.061,205.0625,0.001533,0.39 LSB,PASS
42051,205.0634,205.0625,0.000905,0.23 LSB,PASS
42052,205.0658,205.0664,0.000563,0.14 LSB,PASS
42053,205.0683,205.0703,0.002031,0.52 LSB,PASS
42054,205.0707,205.0703,0.000407,0.10 LSB,PASS
42055,205.0732,205.0742,0.001061,0.27 LSB,PASS
42056,205.0756,205.0742,0.001377,0.35 LSB,PASS
42057,205.078,205.0781,0.000091,0.02 LSB,PASS
42058,205.0805,205.082,0.001559,0.40 LSB,PASS
42059,205.0829,205.082,0.000879,0.22 LSB,PASS
42060,205.0853,205.0859,0.000589,0.15 LSB,PASS
42061,205.0878,205.0898,0.002058,0.53 LSB,PASS
42062,205.0902,205.0898,0.00038,0.10 LSB,PASS
42063,205.0927,205.0938,0.001088,0.28 LSB,PASS
42064,205.0951,205.0938,0.00135,0.35 LSB,PASS
42065,205.0975,205.0977,0.000118,0.03 LSB,PASS
42066,205.1,205.1016,0.001587,0.41 LSB,PASS
42067,205.1024,205.1016,0.000851,0.22 LSB,PASS
42068,205.1049,205.1055,0.000618,0.16 LSB,PASS
42069,205.1073,205.1094,0.002086,0.53 LSB,PASS
42070,205.1097,205.1094,0.000352,0.09 LSB,PASS
42071,205.1122,205.1133,0.001117,0.29 LSB,PASS
42072,205.1146,205.1133,0.001321,0.34 LSB,PASS
42073,205.117,205.1172,0.000148,0.04 LSB,PASS
42074,205.1195,205.1211,0.001616,0.41 LSB,PASS
42075,205.1219,205.1211,0.000821,0.21 LSB,PASS
42076,205.1244,205.125,0.000647,0.17 LSB,PASS
42077,205.1268,205.1289,0.002116,0.54 LSB,PASS
42078,205.1292,205.1289,0.000321,0.08 LSB,PASS
42079,205.1317,205.1328,0.001147,0.29 LSB,PASS
42080,205.1341,205.1328,0.00129,0.33 LSB,PASS
42081,205.1365,205.1367,0.000179,0.05 LSB,PASS
42082,205.139,205.1406,0.001648,0.42 LSB,PASS
42083,205.1414,205.1406,0.00079,0.20 LSB,PASS
42084,205.1439,205.1445,0.000679,0.17 LSB,PASS
42085,205.1463,205.1484,0.002148,0.55 LSB,PASS
42086,205.1487,205.1484,0.000289,0.07 LSB,PASS
42087,205.1512,205.1523,0.00118,0.30 LSB,PASS
42088,205.1536,205.1523,0.001257,0.32 LSB,PASS
42089,205.156,205.1562,0.000212,0.05 LSB,PASS
42090,205.1585,205.1602,0.001681,0.43 LSB,PASS
42091,205.1609,205.1602,0.000756,0.19 LSB,PASS
42092,205.1633,205.1641,0.000713,0.18 LSB,PASS
42093,205.1658,205.1641,0.001724,0.44 LSB,PASS
42094,205.1682,205.168,0.000255,0.07 LSB,PASS
42095,205.1707,205.1719,0.001214,0.31 LSB,PASS
42096,205.1731,205.1719,0.001223,0.31 LSB,PASS
42097,205.1755,205.1758,0.000247,0.06 LSB,PASS
42098,205.178,205.1797,0.001716,0.44 LSB,PASS
42099,205.1804,205.1797,0.000721,0.18 LSB,PASS
42100,205.1828,205.1836,0.000748,0.19 LSB,PASS
42101,205.1853,205.1836,0.001688,0.43 LSB,PASS
42102,205.1877,205.1875,0.000219,0.06 LSB,PASS
42103,205.1902,205.1914,0.001251,0.32 LSB,PASS
42104,205.1926,205.1914,0.001186,0.30 LSB,PASS
42105,205.195,205.1953,0.000283,0.07 LSB,PASS
42106,205.1975,205.1992,0.001753,0.45 LSB,PASS
42107,205.1999,205.1992,0.000684,0.18 LSB,PASS
42108,205.2023,205.2031,0.000786,0.20 LSB,PASS
42109,205.2048,205.2031,0.001651,0.42 LSB,PASS
42110,205.2072,205.207,0.000181,0.05 LSB,PASS
42111,205.2096,205.2109,0.001289,0.33 LSB,PASS
42112,205.2121,205.2109,0.001148,0.29 LSB,PASS
42113,205.2145,205.2148,0.000322,0.08 LSB,PASS
42114,205.217,205.2188,0.001792,0.46 LSB,PASS
42115,205.2194,205.2188,0.000645,0.17 LSB,PASS
42116,205.2218,205.2227,0.000825,0.21 LSB,PASS
42117,205.2243,205.2227,0.001611,0.41 LSB,PASS
42118,205.2267,205.2266,0.000141,0.04 LSB,PASS
42119,205.2291,205.2305,0.001329,0.34 LSB,PASS
42120,205.2316,205.2305,0.001108,0.28 LSB,PASS
42121,205.234,205.2344,0.000362,0.09 LSB,PASS
42122,205.2364,205.2383,0.001832,0.47 LSB,PASS
42123,205.2389,205.2383,0.000604,0.15 LSB,PASS
42124,205.2413,205.2422,0.000866,0.22 LSB,PASS
42125,205.2438,205.2422,0.00157,0.40 LSB,PASS
42126,205.2462,205.2461,0.0001,0.03 LSB,PASS
42127,205.2486,205.25,0.00137,0.35 LSB,PASS
42128,205.2511,205.25,0.001066,0.27 LSB,PASS
42129,205.2535,205.2539,0.000404,0.10 LSB,PASS
42130,205.2559,205.2578,0.001875,0.48 LSB,PASS
42131,205.2584,205.2578,0.000561,0.14 LSB,PASS
42132,205.2608,205.2617,0.000909,0.23 LSB,PASS
42133,205.2632,205.2617,0.001527,0.39 LSB,PASS
42134,205.2657,205.2656,0.000056,0.01 LSB,PASS
42135,205.2681,205.2695,0.001414,0.36 LSB,PASS
42136,205.2706,205.2695,0.001022,0.26 LSB,PASS
42137,205.273,205.2734,0.000449,0.11 LSB,PASS
42138,205.2754,205.2773,0.001919,0.49 LSB,PASS
42139,205.2779,205.2773,0.000517,0.13 LSB,PASS
42140,205.2803,205.2812,0.000954,0.24 LSB,PASS
42141,205.2827,205.2812,0.001482,0.38 LSB,PASS
42142,205.2852,205.2852,0.000011,0.00 LSB,PASS
42143,205.2876,205.2891,0.001459,0.37 LSB,PASS
42144,205.29,205.2891,0.000976,0.25 LSB,PASS
42145,205.2925,205.293,0.000494,0.13 LSB,PASS
42146,205.2949,205.2969,0.001965,0.50 LSB,PASS
42147,205.2973,205.2969,0.00047,0.12 LSB,PASS
42148,205.2998,205.3008,0.001,0.26 LSB,PASS
42149,205.3022,205.3008,0.001435,0.37 LSB,PASS
42150,205.3047,205.3047,0.000036,0.01 LSB,PASS
42151,205.3071,205.3086,0.001507,0.39 LSB,PASS
42152,205.3095,205.3086,0.000929,0.24 LSB,PASS
42153,205.312,205.3125,0.000542,0.14 LSB,PASS
42154,205.3144,205.3164,0.002013,0.52 LSB,PASS
42155,205.3168,205.3164,0.000422,0.11 LSB,PASS
42156,205.3193,205.3203,0.001049,0.27 LSB,PASS
42157,205.3217,205.3203,0.001386,0.35 LSB,PASS
42158,205.3241,205.3242,0.000085,0.02 LSB,PASS
42159,205.3266,205.3281,0.001556,0.40 LSB,PASS
42160,205.329,205.3281,0.000879,0.23 LSB,PASS
42161,205.3314,205.332,0.000592,0.15 LSB,PASS
42162,205.3339,205.3359,0.002063,0.53 LSB,PASS
42163,205.3363,205.3359,0.000372,0.10 LSB,PASS
42164,205.3387,205.3398,0.001099,0.28 LSB,PASS
42165,205.3412,205.3398,0.001336,0.34 LSB,PASS
42166,205.3436,205.3438,0.000136,0.03 LSB,PASS
42167,205.346,205.3477,0.001607,0.41 LSB,PASS
42168,205.3485,205.3477,0.000828,0.21 LSB,PASS
42169,205.3509,205.3516,0.000643,0.16 LSB,PASS
42170,205.3534,205.3555,0.002115,0.54 LSB,PASS
42171,205.3558,205.3555,0.00032,0.08 LSB,PASS
42172,205.3582,205.3594,0.001151,0.29 LSB,PASS
42173,205.3607,205.3594,0.001283,0.33 LSB,PASS
42174,205.3631,205.3633,0.000188,0.05 LSB,PASS
42175,205.3655,205.3672,0.00166,0.42 LSB,PASS
42176,205.368,205.3672,0.000775,0.20 LSB,PASS
42177,205.3704,205.3711,0.000697,0.18 LSB,PASS
42178,205.3728,205.375,0.002168,0.56 LSB,PASS
42179,205.3753,205.375,0.000266,0.07 LSB,PASS
42180,205.3777,205.3789,0.001205,0.31 LSB,PASS
42181,205.3801,205.3789,0.001229,0.31 LSB,PASS
42182,205.3826,205.3828,0.000243,0.06 LSB,PASS
42183,205.385,205.3867,0.001714,0.44 LSB,PASS
42184,205.3874,205.3867,0.00072,0.18 LSB,PASS
42185,205.3899,205.3906,0.000752,0.19 LSB,PASS
42186,205.3923,205.3906,0.001683,0.43 LSB,PASS
42187,205.3947,205.3945,0.000211,0.05 LSB,PASS
42188,205.3972,205.3984,0.001261,0.32 LSB,PASS
42189,205.3996,205.3984,0.001173,0.30 LSB,PASS
42190,205.402,205.4023,0.000299,0.08 LSB,PASS
42191,205.4045,205.4062,0.001771,0.45 LSB,PASS
42192,205.4069,205.4062,0.000663,0.17 LSB,PASS
42193,205.4093,205.4102,0.000809,0.21 LSB,PASS
42194,205.4118,205.4102,0.001625,0.42 LSB,PASS
42195,205.4142,205.4141,0.000153,0.04 LSB,PASS
42196,205.4166,205.418,0.001319,0.34 LSB,PASS
42197,205.4191,205.418,0.001115,0.29 LSB,PASS
42198,205.4215,205.4219,0.000357,0.09 LSB,PASS
42199,205.424,205.4258,0.001829,0.47 LSB,PASS
42200,205.4264,205.4258,0.000605,0.15 LSB,PASS
42201,205.4288,205.4297,0.000868,0.22 LSB,PASS
42202,205.4313,205.4297,0.001566,0.40 LSB,PASS
42203,205.4337,205.4336,0.000094,0.02 LSB,PASS
42204,205.4361,205.4375,0.001379,0.35 LSB,PASS
42205,205.4386,205.4375,0.001055,0.27 LSB,PASS
42206,205.441,205.4414,0.000417,0.11 LSB,PASS
42207,205.4434,205.4453,0.00189,0.48 LSB,PASS
42208,205.4459,205.4453,0.000544,0.14 LSB,PASS
42209,205.4483,205.4492,0.000928,0.24 LSB,PASS
42210,205.4507,205.4492,0.001505,0.39 LSB,PASS
42211,205.4532,205.4531,0.000033,0.01 LSB,PASS
42212,205.4556,205.457,0.00144,0.37 LSB,PASS
42213,205.458,205.457,0.000994,0.25 LSB,PASS
42214,205.4605,205.4609,0.000479,0.12 LSB,PASS
42215,205.4629,205.4648,0.001952,0.50 LSB,PASS
42216,205.4653,205.4648,0.000482,0.12 LSB,PASS
42217,205.4678,205.4688,0.000991,0.25 LSB,PASS
42218,205.4702,205.4688,0.001442,0.37 LSB,PASS
42219,205.4726,205.4727,0.00003,0.01 LSB,PASS
42220,205.4751,205.4766,0.001503,0.38 LSB,PASS
42221,205.4775,205.4766,0.00093,0.24 LSB,PASS
42222,205.4799,205.4805,0.000543,0.14 LSB,PASS
42223,205.4824,205.4844,0.002016,0.52 LSB,PASS
42224,205.4848,205.4844,0.000418,0.11 LSB,PASS
42225,205.4872,205.4883,0.001055,0.27 LSB,PASS
42226,205.4897,205.4883,0.001378,0.35 LSB,PASS
42227,205.4921,205.4922,0.000095,0.02 LSB,PASS
42228,205.4945,205.4961,0.001568,0.40 LSB,PASS
42229,205.497,205.4961,0.000865,0.22 LSB,PASS
42230,205.4994,205.5,0.000608,0.16 LSB,PASS
42231,205.5018,205.5039,0.002081,0.53 LSB,PASS
42232,205.5043,205.5039,0.000352,0.09 LSB,PASS
42233,205.5067,205.5078,0.001122,0.29 LSB,PASS
42234,205.5091,205.5078,0.001311,0.34 LSB,PASS
42235,205.5116,205.5117,0.000162,0.04 LSB,PASS
42236,205.514,205.5156,0.001635,0.42 LSB,PASS
42237,205.5164,205.5156,0.000798,0.20 LSB,PASS
42238,205.5189,205.5195,0.000676,0.17 LSB,PASS
42239,205.5213,205.5234,0.002149,0.55 LSB,PASS
42240,205.5237,205.5234,0.000284,0.07 LSB,PASS
42241,205.5262,205.5273,0.00119,0.30 LSB,PASS
42242,205.5286,205.5273,0.001243,0.32 LSB,PASS
42243,205.531,205.5312,0.00023,0.06 LSB,PASS
42244,205.5335,205.5352,0.001704,0.44 LSB,PASS
42245,205.5359,205.5352,0.000729,0.19 LSB,PASS
42246,205.5383,205.5391,0.000745,0.19 LSB,PASS
42247,205.5408,205.5391,0.001688,0.43 LSB,PASS
42248,205.5432,205.543,0.000214,0.05 LSB,PASS
42249,205.5456,205.5469,0.00126,0.32 LSB,PASS
42250,205.548,205.5469,0.001173,0.30 LSB,PASS
42251,205.5505,205.5508,0.000301,0.08 LSB,PASS
42252,205.5529,205.5547,0.001775,0.45 LSB,PASS
42253,205.5553,205.5547,0.000658,0.17 LSB,PASS
42254,205.5578,205.5586,0.000816,0.21 LSB,PASS
42255,205.5602,205.5586,0.001616,0.41 LSB,PASS
42256,205.5626,205.5625,0.000143,0.04 LSB,PASS
42257,205.5651,205.5664,0.001331,0.34 LSB,PASS
42258,205.5675,205.5664,0.001101,0.28 LSB,PASS
42259,205.5699,205.5703,0.000373,0.10 LSB,PASS
42260,205.5724,205.5742,0.001847,0.47 LSB,PASS
42261,205.5748,205.5742,0.000585,0.15 LSB,PASS
42262,205.5772,205.5781,0.000889,0.23 LSB,PASS
42263,205.5797,205.5781,0.001543,0.40 LSB,PASS
42264,205.5821,205.582,0.000069,0.02 LSB,PASS
42265,205.5845,205.5859,0.001405,0.36 LSB,PASS
42266,205.587,205.5859,0.001027,0.26 LSB,PASS
42267,205.5894,205.5898,0.000447,0.11 LSB,PASS
42268,205.5918,205.5938,0.001921,0.49 LSB,PASS
42269,205.5943,205.5938,0.000511,0.13 LSB,PASS
42270,205.5967,205.5977,0.000964,0.25 LSB,PASS
42271,205.5991,205.5977,0.001468,0.38 LSB,PASS
42272,205.6016,205.6016,0.000006,0.00 LSB,PASS
42273,205.604,205.6055,0.00148,0.38 LSB,PASS
42274,205.6064,205.6055,0.000951,0.24 LSB,PASS
42275,205.6089,205.6094,0.000523,0.13 LSB,PASS
42276,205.6113,205.6133,0.001998,0.51 LSB,PASS
42277,205.6137,205.6133,0.000434,0.11 LSB,PASS
42278,205.6161,205.6172,0.00104,0.27 LSB,PASS
42279,205.6186,205.6172,0.001391,0.36 LSB,PASS
42280,205.621,205.6211,0.000083,0.02 LSB,PASS
42281,205.6234,205.625,0.001558,0.40 LSB,PASS
42282,205.6259,205.625,0.000874,0.22 LSB,PASS
42283,205.6283,205.6289,0.000601,0.15 LSB,PASS
42284,205.6307,205.6328,0.002075,0.53 LSB,PASS
42285,205.6332,205.6328,0.000356,0.09 LSB,PASS
42286,205.6356,205.6367,0.001119,0.29 LSB,PASS
42287,205.638,205.6367,0.001313,0.34 LSB,PASS
42288,205.6405,205.6406,0.000162,0.04 LSB,PASS
42289,205.6429,205.6445,0.001637,0.42 LSB,PASS
42290,205.6453,205.6445,0.000794,0.20 LSB,PASS
42291,205.6478,205.6484,0.00068,0.17 LSB,PASS
42292,205.6502,205.6523,0.002155,0.55 LSB,PASS
